,title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,precio_certificado
311,Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,Inglés,Inglés,2–4 hours per week,6 Weeks,99
312,Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–10 hours per week,3 Weeks,50
313,World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Introductory,Science,Inglés,Inglés,2–3 hours per week,6 Weeks,199
314,Sustainable Cities,16619,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,Inglés,"Inglés, हिन्दी",4–6 hours per week,9 Weeks,49
315,Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,Introductory,Humanities,Inglés,Inglés,1–2 hours per week,8 Weeks,99
316,Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,Inglés,Inglés,3–5 hours per week,4 Weeks,49
317,College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,Introductory,Math,Inglés,Inglés,8–9 hours per week,15 Weeks,49
318,Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,Introductory,Education & Teacher Training,Inglés,Inglés,2–3 hours per week,2 Weeks,49
319,Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,Inglés,Inglés,8–10 hours per week,7 Weeks,25
320,Global Public Health,17273,Self-paced on your time,SDG Academy,Intermediate,Health & Safety,Inglés,Inglés,4–6 hours per week,10 Weeks,49
321,Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,Inglés,Inglés,8–10 hours per week,8 Weeks,49
322,Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,Inglés,Inglés,4–6 hours per week,6 Weeks,49
323,Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,Inglés,Inglés,3–6 hours per week,7 Weeks,50
324,Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,Inglés,Inglés,4–6 hours per week,8 Weeks,25
325,Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,Inglés,Inglés,3–4 hours per week,8 Weeks,49
326,Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–5 hours per week,10 Weeks,50
327,The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Introductory,Humanities,Inglés,Inglés,8–12 hours per week,18 Weeks,99
328,Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,Inglés,Inglés,2–3 hours per week,4 Weeks,199
